yearOfRegistration,Datasource,gender,citizenship,isForcedLabour,ControlCategory,RecruiterCategory,ExploitType,Labor_Type,ageCategories
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Other,Forced Labor,12,Age 9-17
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 27-29
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Survival,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Survival,Other,Forced Labor,Domestic Work,Age 30-38
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Survival,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 39-47
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Manufacturing,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Construction,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Threats,Other,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Friend/Acquaintance,Forced Labor,Agriculture,Age 48+
2013,Case Management,Female,UA,1,Financial,Other,Forced Labor,Agriculture,Age 48+
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 21-23
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Threats,Friend/Acquaintance,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 24-26
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 27-29
2013,Case Management,Male,MM,1,Other,Other,Forced Labor,12,Age 27-29
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 27-29
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 27-29
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 27-29
2013,Case Management,Male,MM,1,Other,Other,Forced Labor,12,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Threats,Friend/Acquaintance,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Threats,Friend/Acquaintance,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 27-29
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Other,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,MM,1,Other,Friend/Acquaintance,Forced Labor,12,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Threats,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Threats,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Threats,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Friend/Acquaintance,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
2013,Case Management,Male,UA,1,Financial,Other,Forced Labor,Construction,Age 30-38
