,yearOfRegistration,Datasource,gender,ageBroad,citizenship,isForcedLabour,control_category,RecruiterCategory,ExploitType,Labor_Type
47,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
48,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
49,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
50,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
51,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
52,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
53,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
54,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
55,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
56,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
57,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
58,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
59,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
60,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
61,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
62,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
63,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
64,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
65,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
66,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
67,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
68,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
69,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
70,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
71,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
72,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
73,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
74,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
75,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
76,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
77,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
78,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
79,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
80,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
81,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
82,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
83,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
84,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
85,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
86,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
87,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
88,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
89,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
90,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
91,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
92,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
93,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
94,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
95,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
96,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
97,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
98,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
99,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
100,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
101,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
102,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
103,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
104,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
105,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
106,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
107,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
108,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
109,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
110,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
111,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
112,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
113,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
114,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
115,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
116,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
117,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
118,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
119,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
120,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
121,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
122,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
123,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
124,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
125,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
126,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
127,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
128,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
129,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
130,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
131,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
132,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
133,2002.0,Case Management,Female,18--20,MD,,Other,,,
134,2002.0,Case Management,Female,18--20,MD,,Other,,,
135,2002.0,Case Management,Female,18--20,MD,,Other,,,
136,2002.0,Case Management,Female,18--20,MD,,Other,,,
137,2002.0,Case Management,Female,18--20,MD,,Other,,,
138,2002.0,Case Management,Female,18--20,MD,,Other,,,
139,2002.0,Case Management,Female,18--20,MD,,Other,,,
140,2002.0,Case Management,Female,18--20,MD,,Other,,,
141,2002.0,Case Management,Female,18--20,MD,,Other,,,
142,2002.0,Case Management,Female,18--20,MD,,Other,,,
143,2002.0,Case Management,Female,18--20,MD,,Other,,,
144,2002.0,Case Management,Female,18--20,MD,,Other,,,
145,2002.0,Case Management,Female,18--20,MD,,Other,,,
146,2002.0,Case Management,Female,18--20,MD,,Other,,,
147,2002.0,Case Management,Female,18--20,MD,,Other,,,
148,2002.0,Case Management,Female,18--20,MD,,Other,,,
149,2002.0,Case Management,Female,18--20,MD,,Other,,,
150,2002.0,Case Management,Female,18--20,MD,,Other,,,
151,2002.0,Case Management,Female,18--20,MD,,Other,,,
152,2002.0,Case Management,Female,18--20,MD,,Other,,,
153,2002.0,Case Management,Female,18--20,MD,,Other,,,
154,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
155,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
156,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
157,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
158,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
159,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
160,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
161,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
162,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
163,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
164,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
165,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
166,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
167,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
168,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
169,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
170,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
171,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
172,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
173,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
174,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
175,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
176,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
177,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
178,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
179,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
180,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
181,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
182,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
183,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
184,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
185,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
186,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
187,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
188,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
189,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
190,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
191,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
192,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
193,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
194,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
195,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
196,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
197,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
198,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
199,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
200,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
201,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
202,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
203,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
204,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
205,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
206,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
207,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
208,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
209,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
210,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
211,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
212,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
213,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
214,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
215,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
216,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
217,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
218,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
219,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
220,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
221,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
222,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
223,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
224,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
225,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
226,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
227,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
228,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
229,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
230,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
231,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
232,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
233,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
234,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
235,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
236,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
237,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
238,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
239,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
240,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
241,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
242,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
243,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
244,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
245,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
246,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
247,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
248,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
249,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
250,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
251,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
252,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
253,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
254,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
255,2002.0,Case Management,Female,18--20,RO,0.0,Other,,Sexual,
256,2002.0,Case Management,Female,18--20,RO,,Other,,,
257,2002.0,Case Management,Female,18--20,RO,,Other,,,
258,2002.0,Case Management,Female,18--20,RO,,Other,,,
259,2002.0,Case Management,Female,18--20,RO,,Other,,,
260,2002.0,Case Management,Female,18--20,RO,,Other,,,
261,2002.0,Case Management,Female,18--20,RO,,Other,,,
262,2002.0,Case Management,Female,18--20,RO,,Other,,,
263,2002.0,Case Management,Female,18--20,RO,,Other,,,
264,2002.0,Case Management,Female,18--20,RO,,Other,,,
265,2002.0,Case Management,Female,18--20,RO,,Other,,,
266,2002.0,Case Management,Female,18--20,RO,,Other,,,
267,2002.0,Case Management,Female,18--20,RO,,Other,,,
268,2002.0,Case Management,Female,18--20,RO,,Other,,,
269,2002.0,Case Management,Female,18--20,RO,,Other,,,
270,2002.0,Case Management,Female,18--20,RO,,Other,,,
271,2002.0,Case Management,Female,18--20,RO,,Other,,,
272,2002.0,Case Management,Female,18--20,RO,,Other,,,
273,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
274,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
275,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
276,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
277,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
278,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
279,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
280,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
281,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
282,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
283,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
284,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
285,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
286,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
287,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
288,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
289,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
290,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
291,2002.0,Case Management,Female,21--23,MD,0.0,Other,,,
292,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
293,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
294,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
295,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
296,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
297,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
298,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
299,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
300,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
301,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
302,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
303,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
304,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
305,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
306,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
307,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
308,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
309,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
310,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
311,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
312,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
313,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
314,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
315,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
316,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
317,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
318,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
319,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
320,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
321,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
322,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
323,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
324,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
325,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
326,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
327,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
328,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
329,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
330,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
331,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
332,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
333,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
334,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
335,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
336,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
337,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
338,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
339,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
340,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
341,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
342,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
343,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
344,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
345,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
346,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
347,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
348,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
349,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
350,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
351,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
352,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
353,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
354,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
355,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
356,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
357,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
358,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
359,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
360,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
361,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
362,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
363,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
364,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
365,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
366,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
367,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
368,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
369,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
370,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
371,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
372,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
373,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
374,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
375,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
376,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
377,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
378,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
379,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
380,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
381,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
382,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
383,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
384,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
385,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
386,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
387,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
388,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
389,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
390,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
391,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
392,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
393,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
394,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
395,2002.0,Case Management,Female,21--23,MD,0.0,Other,,Sexual,
