,yearOfRegistration,Datasource,gender,ageBroad,citizenship,isForcedLabour,control_category,RecruiterCategory,ExploitType,Labor_Type
10128,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10129,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10131,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10132,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10134,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10135,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10136,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Family/Relative,Labor,Domestic Work
10137,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10138,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10140,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10141,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Family/Relative,Labor,Domestic Work
10143,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10144,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10146,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10147,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10148,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10149,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10150,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10151,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10153,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10154,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10156,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10157,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10158,2012.0,Case Management,Female,9--17,HT,1.0,Other,Other,Labor,Domestic Work
10159,2012.0,Case Management,Female,9--17,HT,1.0,Other,Other,Labor,Domestic Work
10160,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10162,2012.0,Case Management,Female,9--17,HT,1.0,Other,Family/Relative,Labor,Domestic Work
10163,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10164,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10165,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10166,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10167,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10168,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10169,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10170,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10171,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10172,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Family/Relative,Labor,Domestic Work
10173,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10174,2012.0,Case Management,Female,9--17,HT,1.0,Other,Family/Relative,Labor,Domestic Work
10175,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10176,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10177,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10178,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10179,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10830,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10831,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10834,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10835,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10836,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10837,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10838,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10839,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10840,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10841,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10843,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10845,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10847,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10848,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10849,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10852,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10853,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10854,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10855,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10859,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10860,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10861,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10862,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10863,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Family/Relative,Labor,Domestic Work
10864,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10866,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Other,Labor,Domestic Work
10868,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Family/Relative,Labor,Domestic Work
10869,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10871,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10872,2012.0,Case Management,Male,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
10873,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10874,2012.0,Case Management,Male,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
11228,2013.0,Case Management,Female,27--29,LK,1.0,Financial,Other,Labor,Domestic Work
11231,2013.0,Case Management,Female,27--29,LK,1.0,Financial,Other,Labor,Domestic Work
11232,2013.0,Case Management,Female,27--29,LK,1.0,Threats,Other,Labor,Domestic Work
11233,2013.0,Case Management,Female,27--29,LK,1.0,Threats,Other,Labor,Domestic Work
11234,2013.0,Case Management,Female,27--29,LK,1.0,Threats,Other,Labor,Domestic Work
11235,2013.0,Case Management,Female,27--29,LK,1.0,Threats,Other,Labor,Domestic Work
11236,2013.0,Case Management,Female,27--29,LK,1.0,Financial,Other,Labor,Domestic Work
11237,2013.0,Case Management,Female,27--29,LK,1.0,Financial,Other,Labor,Domestic Work
11312,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11313,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11314,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11315,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11316,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11318,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11319,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11321,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11322,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11323,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11324,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11325,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11326,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11328,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11329,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11330,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11331,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11332,2013.0,Case Management,Female,30--38,LK,1.0,Survival,Other,Labor,Domestic Work
11333,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11334,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11335,2013.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
11337,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11338,2013.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
11339,2013.0,Case Management,Female,30--38,LK,1.0,Survival,Other,Labor,Domestic Work
11481,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11482,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11483,2013.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
11484,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11485,2013.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
11486,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11487,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11489,2013.0,Case Management,Female,39--47,LK,1.0,Survival,Other,Labor,Domestic Work
11491,2013.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
11493,2013.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
11518,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11519,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11520,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11521,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11522,2013.0,Case Management,Female,39--47,UA,1.0,Threats,Other,Labor,Agriculture
11523,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11524,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11525,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11526,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11527,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Other,Labor,Agriculture
11528,2013.0,Case Management,Female,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11582,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Manufacturing
11583,2013.0,Case Management,Female,48+,UA,1.0,Threats,Other,Labor,Manufacturing
11584,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11585,2013.0,Case Management,Female,48+,UA,1.0,Threats,Other,Labor,Manufacturing
11586,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11587,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11588,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11589,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11590,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11591,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11592,2013.0,Case Management,Female,48+,UA,1.0,Threats,Other,Labor,Manufacturing
11593,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11594,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11595,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11596,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11597,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11598,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11599,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11600,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Manufacturing
11601,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Manufacturing
11602,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11603,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11604,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11605,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
11606,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11607,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11608,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11609,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11611,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11612,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Construction
11613,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Agriculture
11614,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11615,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11616,2013.0,Case Management,Female,48+,UA,1.0,Threats,Other,Labor,Agriculture
11617,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11618,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11619,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11620,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Agriculture
11621,2013.0,Case Management,Female,48+,UA,1.0,Threats,Other,Labor,Agriculture
11622,2013.0,Case Management,Female,48+,UA,1.0,Financial,Friend/Acquaintance,Labor,Agriculture
11623,2013.0,Case Management,Female,48+,UA,1.0,Financial,Other,Labor,Agriculture
11971,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
11972,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11973,2013.0,Case Management,Male,21--23,UA,1.0,Threats,Other,Labor,Construction
11974,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11975,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11976,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11977,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11978,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11979,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
11980,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
11981,2013.0,Case Management,Male,21--23,UA,1.0,Financial,Other,Labor,Construction
12027,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12028,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12029,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12030,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12031,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12032,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12033,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12034,2013.0,Case Management,Male,24--26,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12035,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12036,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12037,2013.0,Case Management,Male,24--26,UA,1.0,Threats,Other,Labor,Construction
12038,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12039,2013.0,Case Management,Male,24--26,UA,1.0,Financial,Other,Labor,Construction
12098,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12099,2013.0,Case Management,Male,27--29,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12100,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12101,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12102,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12103,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12104,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12105,2013.0,Case Management,Male,27--29,UA,1.0,Threats,Other,Labor,Construction
12106,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12107,2013.0,Case Management,Male,27--29,UA,1.0,Threats,Other,Labor,Construction
12108,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12109,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12110,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12111,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12112,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12113,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12114,2013.0,Case Management,Male,27--29,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12115,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12116,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12117,2013.0,Case Management,Male,27--29,UA,1.0,Financial,Other,Labor,Construction
12232,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12233,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12234,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12235,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12236,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12237,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12238,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12239,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12240,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12241,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12242,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12243,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12244,2013.0,Case Management,Male,30--38,UA,1.0,Threats,Other,Labor,Construction
12245,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12246,2013.0,Case Management,Male,30--38,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12247,2013.0,Case Management,Male,30--38,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12248,2013.0,Case Management,Male,30--38,UA,1.0,Threats,Other,Labor,Construction
12249,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12250,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12251,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12252,2013.0,Case Management,Male,30--38,UA,1.0,Threats,Other,Labor,Construction
12253,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12254,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12255,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12256,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12257,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12258,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12259,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12260,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12261,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12262,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12263,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12264,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12265,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12266,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12267,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12268,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12269,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12270,2013.0,Case Management,Male,30--38,UA,1.0,Financial,Other,Labor,Construction
12444,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12445,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12446,2013.0,Case Management,Male,39--47,UA,1.0,Threats,Friend/Acquaintance,Labor,Construction
12447,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Other,Labor,Construction
12448,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
12449,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Other,Labor,Construction
12450,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Other,Labor,Construction
12451,2013.0,Case Management,Male,39--47,UA,1.0,Financial,Friend/Acquaintance,Labor,Construction
