registration_year,datasource,gender,age_range,majority_status,majority_status_at_exploit,majority_entry,citizenship,country_of_exploitation,control_financial,control_threats,control_physical,control_limit_necessities,control_other,labor,victim_purpose,trafficker_relationship
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,-99,1,-99,-99,-99,5,2,-99
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,-99,1,-99,-99,-99,5,2,-99
2017,Case Management,Female,30--38,Adult,Adult,-99,KH,MY,-99,1,-99,1,-99,5,0,-99
2017,Case Management,Female,30--38,Adult,Adult,-99,KH,MY,-99,1,-99,-99,1,5,0,3
2017,Case Management,Female,30--38,Adult,Adult,-99,KH,MY,-99,-99,-99,-99,-99,5,0,3
2018,Case Management,Female,0--8,Minor,-99,-99,MD,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,0--8,Minor,-99,-99,MD,KH,-99,-99,-99,-99,1,-99,-99,-99
2018,Case Management,Female,0--8,Minor,-99,-99,MD,KH,-99,-99,-99,-99,1,-99,-99,-99
2018,Case Management,Female,0--8,Minor,-99,-99,MD,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,0--8,Minor,-99,-99,MD,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,1,-99,-99,-99,1,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,1,-99,-99,-99,1,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,1,-99,-99,-99,1,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,1,-99,-99,-99,1,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,1,-99,-99,-99,1,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,-99,-99,KH,KH,-99,-99,-99,-99,1,-99,-99,-99
2018,Case Management,Female,18--20,Adult,-99,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,-99,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,KH,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,00,UA,-99,1,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,00,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,00,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,00,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,00,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,-99,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,1,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,Minor,-99,-99,IN,-99,1,-99,-99,-99,0,5,-99
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,-99,-99,0,-99,3
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,-99,-99,0,-99,1
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,-99,-99,0,-99,1
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,1,-99,0,-99,3
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,-99,-99,0,-99,1
2018,Case Management,Female,9--17,Minor,-99,Minor,MM,BD,-99,1,1,-99,-99,0,-99,1
2018,Case Management,Female,9--17,Minor,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2018,Case Management,Female,9--17,Minor,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,0
2018,Hotline,Female,18--20,Adult,-99,-99,00,US,-99,1,-99,-99,-99,-99,1,1
2018,Hotline,Female,18--20,Adult,-99,-99,00,US,-99,1,1,-99,-99,-99,1,2
2018,Hotline,Female,18--20,Adult,Minor,-99,00,US,-99,1,1,1,-99,-99,1,-99
2018,Hotline,Female,18--20,Adult,Adult,-99,00,US,-99,1,-99,-99,1,-99,1,-99
2018,Hotline,Female,18--20,Adult,-99,-99,00,US,-99,1,-99,1,-99,-99,1,3
2018,Hotline,Female,18--20,Adult,-99,-99,00,US,1,1,-99,-99,-99,-99,1,1
2018,Hotline,Female,18--20,Adult,-99,-99,00,US,1,-99,-99,1,1,-99,1,1
2018,Hotline,Female,18--20,Adult,Minor,-99,00,US,1,-99,-99,-99,-99,-99,1,-99
2018,Hotline,Female,21--23,Adult,Adult,-99,00,US,1,1,1,-99,-99,-99,-99,-99
2018,Hotline,Female,21--23,Adult,Adult,-99,00,US,-99,-99,1,-99,-99,-99,-99,1
2018,Hotline,Female,21--23,Adult,Adult,-99,00,US,-99,-99,1,-99,1,-99,1,2
2018,Hotline,Female,21--23,Adult,Minor,-99,00,US,1,1,-99,1,-99,-99,1,1
2018,Hotline,Female,21--23,Adult,Minor,-99,00,US,1,-99,1,1,-99,-99,-99,1
2018,Hotline,Female,21--23,Adult,Adult,-99,00,US,-99,-99,-99,-99,-99,-99,-99,-99
2018,Hotline,Female,21--23,Adult,Minor,-99,00,US,-99,-99,-99,-99,1,-99,-99,-99
